fecha	hora	real	programado	desviacion	porcentaje
2016-01-06	13	9267,978334	2102,7	-7165,278334	-340,7656029866362300
2016-01-06	14	9260,23783299999	2087,9	-7172,33783299999	-343,5192218497049700
2016-01-06	15	9412,09273999999	2082,8	-7329,29273999999	-351,8961369310538700
2016-01-06	16	9377,65873100001	2091,7	-7285,95873100001	-348,3271373045852700
2016-01-06	17	9275,260391	2101,3	-7173,960391	-341,4058150192737800
2016-01-06	18	9119,557625	2102,9	-7016,657625	-333,6657770222074300
2016-01-06	19	8833,184846	2124,8	-6708,384846	-315,7184133094879500
2016-01-06	20	8668,891635	2152,0	-6516,891635	-302,8295369423791800
2016-01-06	21	8655,882223	2192,4	-6463,482223	-294,8130917259624200
2016-01-06	22	9151,290999	2233,1	-6918,190999	-309,8021136088845100
2016-01-06	23	9166,035932	2231,3	-6934,735932	-310,7935253887868100
2016-01-06	24	8689,564667	2217,1	-6472,464667	-291,9338174642551100
2016-01-07	1	8327,678861	2197,3	-6130,378861	-278,9959887589314200
2016-01-07	2	7673,068645	2171,0	-5502,068645	-253,4347602487333000
2016-01-07	3	7353,928758	2151,0	-5202,928758	-241,8841821478382100
2016-01-07	4	7354,357273	2154,1	-5200,257273	-241,4120641103012900
2016-01-07	5	7340,211396	2149,9	-5190,311396	-241,4210612586631900
2016-01-07	6	7388,984822	2141,0	-5247,984822	-245,1183943017281600
2016-01-07	7	7476,692837	2136,6	-5340,092837	-249,9341400823738700
2016-01-07	8	7592,756894	2115,5	-5477,256894	-258,9107489482391900
2016-01-07	9	8155,653618	2066,6	-6089,053618	-294,6411312300396800
2016-01-07	10	8686,19809	2079,1	-6607,09809	-317,7864503871867600
2016-01-07	11	9000,369906	2107,5	-6892,869906	-327,0638152313167300
2016-01-07	12	9170,997457	2146,0	-7024,997457	-327,3530967847157500
2016-01-07	13	9267,435222	2178,0	-7089,435222	-325,5020763085399400
2016-01-07	14	9277,578799	2192,4	-7085,178799	-323,1699871829958000
2016-01-07	15	9393,309433	2186,8	-7206,509433	-329,5458859063471700
2016-01-07	16	9389,446019	2196,4	-7193,046019	-327,4925341012566000
2016-01-07	17	9383,444239	2207,3	-7176,144239	-325,1096017306211200
2016-01-07	18	9321,554053	2212,8	-7108,754053	-321,2560580712219800
2016-01-07	19	9064,743985	2224,5	-6840,243985	-307,4957961339626900
2016-01-07	20	8830,318146	2250,5	-6579,818146	-292,3713906243057100
2016-01-07	21	8869,176733	2292,0	-6577,176733	-286,9623356457242600
2016-01-07	22	9391,700803	2334,5	-7057,200803	-302,3003128292996400
2016-01-07	23	9360,108197	2334,4	-7025,708197	-300,9641962388622300
2016-01-07	24	8986,455205	2319,6	-6666,855205	-287,4140026297637500
2016-01-08	1	8389,32450199999	2282,8	-6106,52450199999	-267,5015113895212000
2016-01-08	2	7914,39734	2251,2	-5663,19734	-251,5634923596304200
2016-01-08	3	7635,827481	2230,2	-5405,627481	-242,3830813828356200
2016-01-08	4	7514,835923	2234,0	-5280,835923	-236,3847772157564900
2016-01-08	5	7490,38518	2229,7	-5260,68518	-235,9369054132843000
2016-01-08	6	7553,729835	2220,9	-5332,829835	-240,1202141023909200
2016-01-08	7	7713,874497	2243,0	-5470,874497	-243,9088050378956800
2016-01-08	8	7898,869803	2223,0	-5675,869803	-255,3247774628879900
2016-01-08	9	8462,70111100001	2185,6	-6277,10111100001	-287,2026496614206600
2016-01-08	10	9023,746685	2196,7	-6827,046685	-310,7864835890198900
2016-01-08	11	9299,930031	2193,8	-7106,130031	-323,9187724952137800
2016-01-08	12	9370,454023	2190,3	-7180,154023	-327,8160079897730900
2016-01-08	13	9369,381717	2181,3	-7188,081717	-329,5320092146884900
2016-01-08	14	9414,112873	2175,7	-7238,412873	-332,6935180861332000
2016-01-08	15	9511,797133	2169,5	-7342,297133	-338,4326864715372200
2016-01-08	16	9546,971454	2167,8	-7379,171454	-340,3990891226127900
